teff,logg,feh,A,lambda0,b,n,A_err,lambda0_err,b_err,n_err,EW_numeric,EW_analytic
5000,3.5,-0.5,0.9999999296423393,4862.684703429388,0.18275712293776405,0.31533600480324653,0.13904913236610586,0.003960813869282109,0.08108658859854521,0.029351148202446626,2.095328279861455,2.730479955278573
5000,3.5,0.0,0.9999999999996284,4862.702156528143,0.13307466614939684,0.27221594859090836,0.2293713499925959,0.00479403385643695,0.1090875473889453,0.03946146651566551,2.2043256402985016,3.9541925668538775
5000,3.5,0.5,0.9999999920774362,4862.678568646134,0.09107599646988941,0.2734756688924352,0.31559160036000405,0.005740010262594062,0.10058556392797276,0.051721726413961666,1.7786879629599708,2.641580395309875
5000,4.0,-0.5,0.9999990017484611,4862.667266853711,0.1698152770406317,0.3056574664692548,0.1471394582210969,0.003929786794130268,0.08160399441090806,0.02967072162667882,2.091842917397629,2.895859565066957
5000,4.0,0.0,0.999601570798518,4862.53700151502,0.10499683653313506,0.2541855987564402,0.2726254786404608,0.0031915594923861306,0.10726670338377763,0.041987037008093295,2.1656289996407314,4.564261442810465
5000,4.0,0.5,0.35625610743516756,4861.103984006477,0.5140753865686575,0.24411554963486995,0.24476181292381746,0.0022510120986882092,1.4805250903796063,0.13477026724360033,1.7307471674608104,10.17519431494347
5000,4.5,-0.5,0.9999748969009781,4862.661255505214,0.157746677339872,0.29586583363322816,0.15850673345958521,0.003984250725794076,0.0837143229521954,0.0305197145568894,2.0958522962609765,3.1115355422457487
5000,4.5,0.0,0.8899721362907098,4861.140044307892,0.05000000171467951,0.19830725564075813,0.47786567870822444,0.0005911618052257509,0.12352958606984972,0.06016363391360229,2.124571579745285,11.488230890644742
5000,4.5,0.5,0.9276333875751037,4861.116038951872,0.05000000000000001,0.23425006803432158,0.4886815636577962,0.0006559182532427993,0.10216963606290191,0.06692608762277985,1.6870430633768885,3.3644318784698584
5000,5.0,-0.5,0.9194608244955589,4862.410642844336,0.13550556102652242,0.26297385604295015,0.20721400234186663,0.0036836912382886577,0.11244802641705048,0.037399233328900904,2.1241681943999886,4.462217243955558
5000,5.0,0.0,0.9999996285461689,4861.127794736954,0.05000000018558496,0.21272191521082237,0.45530411381040814,0.0009307910606198736,0.09735719775308191,0.053649064803108194,2.1201490386915722,7.264417214159363
5000,5.0,0.5,0.9999999999890212,4861.122238585258,0.052618239619711314,0.25784947336994274,0.44912113013201005,0.001638096687395892,0.08393318895916088,0.06282779523757777,1.6008558254189293,2.1059504226479575
5200,3.5,-0.5,0.9999999999999999,4862.719796073922,0.3734601992111668,0.34669960973973735,0.08711410466975106,0.0037464931179394356,0.09855353659304111,0.022794784959015574,2.7600131249735287,3.8829733263174213
5200,3.5,0.0,0.9999726303238798,4862.708399481717,0.352890480461865,0.2908319660282415,0.13974608848902353,0.005049781155432522,0.17374128473343356,0.030230396162099955,3.324804174678807,7.539792270046977
5200,3.5,0.5,0.9999999479619502,4862.708517176619,0.27679739872987236,0.27120863465286354,0.20153681941599255,0.00608917875391672,0.2072070997315665,0.039074865045851885,3.1961691698870434,8.387149429423536
5200,4.0,-0.5,0.9999854456954789,4862.708197276556,0.34258119132348236,0.34260086695340347,0.09055619206104738,0.003849123275438206,0.09465415368650962,0.02308013422387891,2.6516612586917754,3.716013118044956
5200,4.0,0.0,0.9999982551259317,4862.702572919099,0.30898188816026323,0.29750663363585456,0.13751228735212592,0.004845698697740246,0.14584281411083777,0.029695435819750995,3.0068341056130983,5.942631931794921
5200,4.0,0.5,0.9999978663297714,4862.673218264817,0.24251511568814113,0.26505987745089926,0.2122876313501021,0.005980276666921474,0.19417179402188725,0.03938816654411668,3.0819377721472225,8.31473793961961
5200,4.5,-0.5,0.9988738302519072,4862.684837868307,0.2971844003258866,0.33532008545684544,0.09938888367949088,0.003946618144625352,0.0913880933866575,0.02421872796861906,2.5045709049711578,3.4837002761356075
5200,4.5,0.0,0.999869530272865,4862.66738069224,0.2836231966822313,0.2882535310151924,0.14909496481452167,0.004864566303854183,0.14876582149055453,0.03075257033261595,2.9899040834103108,6.321406869012672
5200,4.5,0.5,0.9990378016074366,4862.608080981979,0.21402609823502347,0.25736255812196945,0.22839037412745766,0.005335579796073075,0.1883643326763493,0.04031428092832833,3.0103514680848917,8.651182369927364
5200,5.0,-0.5,0.9999976551875935,4862.684779865669,0.273603771670752,0.3205481929748072,0.11205716897698755,0.004047924996106322,0.09809838084727006,0.025604947814875156,2.5363648528611984,3.82340346120369
5200,5.0,0.0,0.9999999940044028,4862.566539251898,0.255524357203045,0.2753386506538461,0.17252548561359463,0.004114024892644507,0.16056675981543558,0.03328328232245457,3.000589628886174,7.154675794834302
5200,5.0,0.5,0.9535372336987104,4862.542694094365,0.22885653765547156,0.26422500785412856,0.22556187493134994,0.004812834797664981,0.20367780515669734,0.043051825465666126,2.8609917527833266,7.612879981820087
5500,3.5,-0.5,0.9999999999977068,4862.673509041225,0.5857752960707664,0.3875768980596083,0.05439454735263363,0.003841668247892207,0.08958416006065562,0.017526106208458715,3.1857866676733853,4.257800364063331
5500,3.5,0.0,0.9999999531464802,4862.725783646923,0.5989131590597723,0.3397196318248581,0.08304425900437794,0.004502375154815526,0.15609200888402192,0.023200724271704415,3.716036076924945,6.698485396220221
5500,3.5,0.5,0.9999973894554729,4862.69122373488,0.5482296086117295,0.3004521220018561,0.12380070310346696,0.005838688815865861,0.23653200368543173,0.030090535233680587,4.007421901866338,10.08544794128191
5500,4.0,-0.5,0.996566853380443,4862.661909237694,0.5259376426362338,0.3933462403472796,0.056097175628667034,0.0036842986702868125,0.0819455387118018,0.018106849338312452,2.915353956374996,3.6511969780627953
5500,4.0,0.0,0.9998346776348119,4862.737620338604,0.5484941648328107,0.3324973357412021,0.08844886635859188,0.004281403153970092,0.15456582520878911,0.023734466707815836,3.6109328015922824,6.643543688504026
5500,4.0,0.5,0.9998425755805475,4862.679493714113,0.494356573456943,0.2922421760862127,0.13060324792878672,0.005563494221756881,0.22973634072985458,0.030275298509380995,3.910591337815503,10.323374199365206
5500,4.5,-0.5,0.999999206887842,4862.684863360159,0.48816755149952434,0.3871984769270648,0.05958971601295635,0.0038009536330723386,0.08138238954207506,0.018597340632881765,2.832635013994312,3.5584426835076886
5500,4.5,0.0,0.9999189207563033,4862.702542117106,0.5111909172790915,0.3251193665515581,0.09323539395902761,0.004722012704959587,0.154539058071969,0.024169863636979188,3.555012110960522,6.751929583476949
5500,4.5,0.5,0.9999953738016403,4862.6910896425425,0.4485923776053159,0.2927550530241986,0.13582015107272571,0.005654210276247906,0.21560921311699527,0.03095456819223906,3.712065559108119,9.292591560590202
5500,5.0,-0.5,0.9994555257507673,4862.667360424126,0.46853301971811123,0.3774243535842744,0.065569225199113,0.003906266032223946,0.08765041884751001,0.01971559953059372,2.842028022899306,3.684097465752954
5500,5.0,0.0,0.9999994511738818,4862.684980943505,0.4892861309848717,0.3189921147947953,0.09902810338159942,0.004829075289622311,0.15946229970739173,0.02497219047065952,3.5395953978742885,6.973135108338506
5500,5.0,0.5,0.9999999999999883,4862.643839596887,0.42989933340068864,0.28632395524192905,0.1439966119233618,0.005390185798212173,0.22299649692902745,0.03182992771113938,3.7187481106513123,9.898030796466077
5700,3.5,-0.5,0.9999994375781885,4862.684896063078,0.7516896315668459,0.4001049302425657,0.04472763413578061,0.003940564528492646,0.09285388224258048,0.01567526982443259,3.6076536546088778,4.992642114172082
5700,3.5,0.0,0.9999992212524561,4862.690984879563,0.8090118942460046,0.35366341561970727,0.06718111641064631,0.004998269978514996,0.16663637372769605,0.02087360265095619,4.229177510654104,7.850943872151369
5700,3.5,0.5,0.9998417204202225,4862.685532478357,0.7858349693070258,0.3134191665685864,0.10059910850691774,0.0058966341538589295,0.2687900177363712,0.02745458430676152,4.60124092067991,12.040084068978011
5700,4.0,-0.5,0.9997865569566248,4862.690602066199,0.6733012131847569,0.4135877236386832,0.04308982213501902,0.0037214902858199307,0.07779318594873527,0.01539028071409415,3.2426456879970944,4.091302522801584
